token,type,score,cummulative percentage,english
vesz,VERB,158,17.83,"1 - (ambitransitive) to take, grab (out of some food etc.: -ból/-ből)##2 - (transitive) to get, take, obtain##3 - (transitive) to buy (optionally: from someone: -tól/-től, for someone: -nak/-nek)##4 - (transitive) to take (classes)##5 - (transitive) to consider, deem, regard (as something: -nak/-nek), take (assign some quality to)##6 - (transitive) to consider, take (to take up as an example)##7 - (transitive) to put on (clothes)####1 - (intransitive) alternative form of vész and veszik"
ad,VERB,149,18.17,"1 - (transitive) to give or shift (something) to or near someone or somewhere##2 - (transitive) to give or shift (something) to or near someone or somewhere#(transitive) to serve (food or drink) to someone (-nak/-nek); to set down (food or drink) to be consumed##3 - (transitive) to give (something) to someone (-nak/-nek) as a gift, donation etc.##4 - (transitive) to throw, organize, hold, give (a party/celebration/dinner, especially in honour of someone)##5 - (transitive, arithmetic) to add (-hoz/-hez/-höz)##6 - (transitive) to perform (a play, show etc.); to screen (a film); to broadcast (a program)##7 - (transitive, slang) to rule, rock; to be giving [with null object]##8 - (transitive, slang) to like, enjoy, dig; to vibe with; to agree with (something)"
szem,NOUN,145,18.5,"1 - eye (visual organ in humans and animals)##2 - (figurative, in set phrases) eye (sight, look or attention)##3 - (figurative) eye (point of view, perspective or opinion)##4 - grain (the harvested seed of various cereal crops)##5 - grain, speck (tiny particle of sand or dust)##6 - an individual item out of a group of similar objects#one piece of any small succulent fruit, especially those that grow in clusters##7 - an individual item out of a group of similar objects#one piece of something small, round and numerous, such as a bead of pearl, a medicine pill, etc.##8 - an individual item out of a group of similar objects#(attributive) single, only (not accompanied by anything else, one in number)##9 - (knitting) stitch (a single turn of the thread round a needle)"
ajtó,NOUN,145,18.83,1 - door (portal of entry into a building or room)
dolog,NOUN,140,19.14,"1 - thing, object##2 - affair, business, matter##3 - task, work, job, duty, responsibility##4 - fate, (good or bad) time##5 - a matter or question of (something) (used with abstract concepts like honour or taste)"
ők,PRON,138,19.45,
marad,VERB,134,19.76,"1 - (intransitive) to stay, remain (to remain in a particular place; to stay behind while others withdraw; to be left after others have been removed; to be left after a number or quantity has been subtracted or cut off; to be left as not included or comprised)##2 - (intransitive, copulative) to remain (to continue unchanged in place, form, or condition, or undiminished in quantity; to continue in a state of being)"
hall,VERB,134,20.06,1 - (intransitive) to hear (to perceive sounds through the ear)##2 - (transitive) to hear (to perceive with the ear)
tag,NOUN,126,20.35,1 - member##2 - synonym of végtag (“limb”)####1 - (computing) tag (a piece of markup representing an element in a markup language)####1 - tag (graffiti in the form of a stylized signature particular to the artist)
szőke,NOUN,124,20.63,"1 - blond, blonde (person)"
tábornok,NOUN,124,20.91,1 - general
vezér,NOUN,122,21.18,"1 - leader, chief##2 - (chess) queen"
tesz,VERB,121,21.46,"1 - (transitive) to do (optionally with -val/-vel for the target person or object)##2 - (transitive) to place, to put (with lative suffixes)##3 - (transitive) to make (to cause to be; with the result in -vá/-vé)##4 - (intransitive) to see to it, to ensure (followed by the adverb róla)##5 - (intransitive, construed with -het) to (be able to) help it, to be the cause of, to be to blame (potential form with -ról/-ről or followed by the adverb róla)"
megáll,VERB,119,21.72,"1 - (intransitive) to stop, to come to a stop, to halt##2 - (intransitive) to be able to stand (long enough for some purpose, despite internal or external difficulties)##3 - (transitive, rare) to withstand, to endure (e.g. a test, a battle or an attack)##4 - (transitive, chiefly in the negative, often with tud (“can”)) to be able to help doing (something), to be able to stop oneself doing (something)"
érez,VERB,118,21.99,"1 - (transitive) to feel (to become aware of through the skin)##2 - (transitive) to smell (to become aware of through the nose)##3 - (transitive) to taste (to become aware of through the mouth)##4 - (reflexively, as érzi magát, with definite conjugation) to feel (to experience an emotion or other mental or physical state)"
szabó,NOUN,114,22.25,1 - tailor
csinál,VERB,113,22.5,1 - (transitive) to do##2 - (transitive) to make
egylet,NOUN,112,22.76,"1 - club (association of members)##2 - association, company, corporation"
kalap,NOUN,110,23.01,"1 - hat (head covering)##2 - (mycology) cap, pileus (the top part of a mushroom)"
közlegény,NOUN,110,23.26,
vár,VERB,109,23.5,1 - (intransitive) to wait for someone or something (with -ra/-re)##2 - (transitive) to expect someone or something
beszél,VERB,109,23.75,"1 - (intransitive, in certain phrases transitive) to speak, talk (to/with someone: -val/-vel, one-sidedly: -hoz/-hez/-höz, about something: -ról/-ről)##2 - (intransitive) to speak (in some language: -ul/-ül)##3 - (intransitive, rare, now only in set phrases) to matter, to count, to have weight, to deserve attention##4 - (intransitive, construed as magáért beszél) to speak for oneself (to have obvious implications; to require no explanation)"
kér,VERB,109,23.99,"1 - (transitive) to ask (for), to make a request (the person having -tól/-től and the favor, -t/-ot/-at/-et/-öt, or the person having -t/-ot/-at/-et/-öt and the favor, -ra/-re)##2 - would like to have (some)"
tanár,NOUN,108,24.24,"1 - teacher (especially as an occupation; usually teaching children over ten, specialized in certain subjects)"
hallatszik,VERB,107,24.48,1 - (intransitive) to sound
utcai,ADJ,104,24.72,1 - street
kapu,NOUN,101,24.94,"1 - gate, entrance, (street) door##2 - (sports) goal"
föld,NOUN,99,25.17,"1 - earth, land##2 - plot, estate, a piece or stretch of land##3 - soil, dirt##4 - land surface, ground, floor##5 - (electricity) ground"
maga,PRON,99,25.39,
sereg,NOUN,98,25.61,"1 - (military) army##2 - flock, crowd, multitude (a large number of people)##3 - flock (e.g. of birds or locusts)##4 - heap, pile, lot (great number of things)"
gitt,NOUN,94,25.83,
trombita,NOUN,94,26.04,1 - trumpet
jár,VERB,93,26.25,"1 - to go, to move between places, whether on foot or by transportation#(ambitransitive) to walk, to ambulate (to move by alternately setting each foot forward)##2 - to go, to move between places, whether on foot or by transportation#(intransitive) to pass by unexpectedly or by chance, to happen to be somewhere##3 - to go, to move between places, whether on foot or by transportation#(ambitransitive) to visit, to have been to (to go to a place and return)##4 - to habitually do something, especially when it involves going outside#(intransitive, with lative suffixes or with an infinitive) to attend, to frequent, to go to (to regularly visit a place)##5 - to habitually do something, especially when it involves going outside#(intransitive) to travel by, to regularly take (to use as a means of transportation)##6 - to habitually do something, especially when it involves going outside#(intransitive with -val/-vel) to go out with, to date (to have a romantic relationship)##7 - to habitually do something, especially when it involves going outside#(intransitive) to dress in a certain manner, to habitually wear##8 - to habitually do something, especially when it involves going outside#(intransitive, in set phrases) to go about life in a certain manner, to carry oneself in a certain way##9 - to move or to be moved regularly or repetitively#(transitive) to dance (to perform the steps to)##10 - to move or to be moved regularly or repetitively#(intransitive) to perform a repetitive motion (of an object or body part)##11 - to move or to be moved regularly or repetitively#(intransitive) to run, to operate, to work (of a mechanical device)##12 - to move or to be moved regularly or repetitively#(intransitive) to run, to be in service (of a means of public transportation, to operate on a determined schedule)##13 - to move or to be moved regularly or repetitively#(intransitive) to go around (of an object, to pass from person to person)##14 - to move or to be moved regularly or repetitively#(transitive, also with null object) to go around (of news or gossip, to spread by word of mouth)##15 - to move or to be moved regularly or repetitively#(intransitive) to go on in one’s mind (to be in one’s thoughts persistently)##16 - (figurative) to be customary, to usually happen in some way#(intransitive) to regularly arrive to a subscriber##17 - (figurative) to be customary, to usually happen in some way#(intransitive with -nak/-nek) to be owed, deserved or justly expected (of a payment, benefit, reward or punishment)##18 - (figurative) to be customary, to usually happen in some way#(intransitive) to be included with (to be free along with the purchase or obtainment of something)##19 - (figurative) to be customary, to usually happen in some way#(intransitive with -val/-vel) to involve, to bring about, to come with, to mean as a consequence##20 - (figurative) to be customary, to usually happen in some way#(transitive with null object) to be customary, appropriate, right, fair or proper##21 - (figurative) to progress, to be at a certain stage#(intransitive with -ra/-re) to come to pass, to befall##22 - (figurative) to progress, to be at a certain stage#(intransitive, also with null subject) to be getting, to be around (used to vaguely express the time, date or season)##23 - (figurative) to progress, to be at a certain stage#(intransitive) to be at, to be around (used to express the actual stage of a progress, or a person’s age)##24 - (figurative) to have something happen to someone#(intransitive with így, úgy or hogy) to have something befall someone, typically with a negative outcome##25 - (figurative) to have something happen to someone#(intransitive with an adverb) to come out of a situation favorably or unfavorably, to benefit from or be hurt by"
pillanat,NOUN,92,26.46,"1 - instant##2 - moment, second"
arc,NOUN,92,26.67,"1 - (anatomy) face##2 - (anatomy) cheek##3 - (figuratively) sight, view, aspect, appearance##4 - (slang, often following jó) chap, guy, dude, bloke, fellow"
többi,NOUN,91,26.87,1 - the others (all except for the specified ones)
hisz,VERB,91,27.08,"1 - (transitive) to believe (to find a statement or utterance true or to find or an event/feature existing)##2 - (intransitive) to believe, trust, have confidence in someone or something (to find it true what someone or something claims or communicates; with -nak/-nek)##3 - (transitive) to believe (to find a prospective event or a statement about the future definite, to be convinced of its certainty or occurrence)##4 - (intransitive, in statements with azt or úgy, or in negations) to think, suppose, guess (to be of opinion about some situation, state, or change [that it will probably happen])##5 - (intransitive) to believe in, to have faith in (to be convinced of someone’s existence or power; with -ban/-ben)##6 - (intransitive) to believe in, to have faith in (to be convinced of someone’s value, talent, honesty, sincerity etc.; with -ban/-ben)##7 - (transitive) to think, guess, reckon about someone or something (to consider, judge, regard, or look upon [something] as)##8 - (transitive) to believe, consider, judge, deem someone or something to be something (with -nak/-nek)"
baj,NOUN,91,27.28,"1 - trouble, matter, problem##2 - (obsolete) battle, combat, fight, duel##3 - ill, trouble, condition, complaint (a certain abnormal state of health)"
se,ADV,90,27.49,
ellenség,NOUN,88,27.69,1 - enemy
lámpa,NOUN,88,27.88,1 - lamp (device producing light)
asszony,NOUN,88,28.08,"1 - a married or divorced woman or a widow##2 - (archaic of unmarried women) woman (adult female human)##3 - (often colloquial, with definite article) woman, wife##4 - (formal) lady, mistress (woman of authority)##5 - (on its own, with a first-person possessive suffix) madam, ma’am (term of address, see asszonyom)"
vég,NOUN,86,28.28,"1 - end##2 - bolt (a unit of measurement used as an industry standard for materials stored in a roll; in attributive usage, as well)"
vág,VERB,86,28.47,"1 - (transitive) to cut##2 - (transitive) to throw (forcefully, violently)##3 - (transitive) to hit, to slap (e.g. on the face)##4 - (transitive, slang) to know, to understand##5 - (transitive) to make (a facial expression; often used with arc, kép, pofa)"
meglát,VERB,84,28.66,1 - (transitive) to catch sight of
név,NOUN,84,28.85,"1 - name##2 - (grammar, rare, in certain compounds) noun"
fordul,VERB,83,29.04,1 - (intransitive) to turn
gondol,VERB,83,29.23,"1 - (transitive) to think something, to have some opinion (with -ról/-ről)##2 - (intransitive) to think, guess, reckon in some way##3 - (transitive) to believe, imagine, consider, find someone or something to be someone or something else (with -nak/-nek)##4 - (intransitive) to think of/about something, care or worry about someone or something (-ra/-re or archaic -val/-vel)##5 - (intransitive) to hint at, allude at something, to mean, to have something in mind (with -ra/-re)##6 - (intransitive) to plan to do or consider doing something (with -ra/-re)"
hangzik,VERB,82,29.41,1 - (intransitive) to sound
kap,VERB,81,29.6,"1 - (transitive) to get, to receive (from someone: -tól/-től; as something: -ul/-ül)##2 - (intransitive) to snatch, to grab (expressing a sudden movement) (with -hoz/-hez/-höz, -ba/-be, felé, or után)##3 - (transitive, dialectal) to find"
őr,NOUN,81,29.78,"1 - guard, watchman, keeper##2 - guardian, protector"
jelent,VERB,80,29.96,"1 - (transitive) to mean, denote, indicate##2 - (transitive) to report (to someone -nak/-nek), notify##3 - (transitive) to present, pose, involve (e.g. difficulty, trouble, threat, risk, or danger)####1 - third-person singular indicative past indefinite of jelenik"
nap,NOUN,79,30.14,"1 - day##2 - sun (also written Nap in astronomical context), (in compounds) solar"
fél,VERB,79,30.32,"1 - (intransitive) to fear, to be afraid of something (-tól/-től)##2 - (transitive, archaic or literary) to fear something (-t/-ot/-at/-et/-öt)"
szív,NOUN,79,30.5,"1 - (anatomy) heart (a muscular organ that pumps blood through the body)##2 - heart (emotions, kindness, moral effort, or spirit)##3 - heart (a conventional shape or symbol used to represent the heart)"
valami,PRON,78,30.67,
golyó,NOUN,78,30.85,1 - ball (solid or hollow sphere)##2 - marble (small solid ball used in games)##3 - bullet (projectile)##4 - (slang) testicle
parancs,NOUN,78,31.02,1 - order (command)
ablak,NOUN,77,31.2,"1 - window (opening on a building or vehicle, usually covered by one or more panes of glass)##2 - teller window, ticket window (windowed part of a counter where transactions are made in a bank, post office, etc.)##3 - (computing) program window (rectangular area on a computer screen displaying the output of a program)##4 - (figurative) window (period of time when something can be done due to favorable circumstances)##5 - window (transparent panel on the front of an envelope allowing the recipient’s address to show through)##6 - (historical, informal) exit permit issued under the Soviet regime in the form of a passport stamp valid for one trip"
szalad,VERB,77,31.37,1 - (intransitive) to run
zászlóalj,NOUN,76,31.54,1 - battalion
farakás,NOUN,75,31.71,
elmegy,VERB,75,31.88,"1 - (intransitive) to go (to some place)##2 - (intransitive) to go to/and see someone (used with -hoz/-hez/-höz)##3 - (intransitive) to leave, to go away, to walk away, to drive away##4 - (intransitive) to be just barely good enough, to be barely okay##5 - (intransitive, informal) to cum, to come (to have an orgasm)##6 - (intransitive, euphemistic) to pass away, to die"
kunyhó,NOUN,74,32.05,"1 - hut, cottage, hovel, cabin, shack (a roughly built, simple dwelling)"
tót,NOUN,73,32.22,"1 - (dated, regional) A Slovak (less commonly, Slovene) person, or a person of such origins."
homok,NOUN,73,32.38,"1 - sand (rock that is ground more finely than gravel, but is not as fine as silt, forming beaches and deserts and also used in construction)"
apa,NOUN,73,32.55,1 - father
kapitány,NOUN,72,32.71,"1 - captain (a naval officer with a rank between commander and commodore and rear admiral)##2 - captain (one of the athletes on a sports team who is designated to make decisions, and is allowed to speak for his team with a referee or official.)##3 - (historical) commander of a fortress"
hallgat,VERB,72,32.87,"1 - (transitive) to listen to something (to pay attention to a sound or speech)##2 - (transitive) to take a course in something (at a university)##3 - (intransitive) to keep quiet, remain silent##4 - (intransitive, with -ról/-ről) to keep quiet about something##5 - (intransitive, with -ra/-re) to heed, to take somebody's advice, to listen to someone"
látszik,VERB,71,33.03,"1 - (intransitive) to be visible, to be able to be seen##2 - (intransitive) to seem, to appear, to look like something (-nak/-nek)"
közgyűlés,NOUN,70,33.19,1 - general assembly
figyel,VERB,70,33.35,"1 - (transitive) to watch, to observe, to pay attention, whether by seeing or hearing or both (to something: -ra/-re)"
gittegylet,NOUN,70,33.51,
semmi,PRON,69,33.66,
kettő,NUM,69,33.82,
rész,NOUN,69,33.98,"1 - part, piece##2 - section, segment, stretch##3 - share, portion, allotment##4 - (media) episode, installment, part (in a series)"
krajcár,NOUN,68,34.13,1 - (historical) kreuzer
hadsereg,NOUN,68,34.28,"1 - (military) army (large, highly organised military force concerned mainly with ground operations)"
szél,NOUN,67,34.43,"1 - wind####1 - (chiefly with a possessive suffix) edge, rim, fringe##2 - (figurative) (with a possessive suffix) verge, brink (chiefly as szélén, szélére)##3 - (folksy, archaic) synonym of szélesség (“width”)"
sor,NOUN,67,34.59,"1 - row (in the auditorium of a theater etc.)##2 - row (in a sheet, table, database)##3 - (of text) line##4 - queue (GB) , line (US) (people or things waiting to be served one after the other)##5 - (mathematics, physics) series##6 - a fairly large quantity (of things)##7 - (of events) chain, course, succession##8 - someone’s turn (used in several phrases with -n/-on/-en/-ön)##9 - occurrence, taking place (with the verbs kerít, kerül)##10 - (after a proper name) a type of street or road with buildings on one side only##11 - situation, status##12 - birth, social rank, class (used with adjectives like high or low)##13 - (archaic) fate, lot##14 - (poker) straight##15 - (chess) rank##16 - significance, footing (whether things are on a par with each other)"
int,VERB,67,34.74,"1 - (intransitive) to wave (wave one’s hand in greeting or departure)##2 - (intransitive) to wave (signal with a waving movement)##3 - (transitive) to beckon, motion (wave or nod to somebody indicating a desired movement)##4 - (transitive, literary) to warn##5 - (archaic, transitive, intransitive) to wink with only one eye as a message, signal, or suggestion. (When transitive, the object may be the eye being winked, or the message being conveyed.)"
folytat,VERB,67,34.89,1 - (transitive) causative of folyik: to continue
csónak,NOUN,66,35.04,1 - boat
víz,NOUN,65,35.19,"1 - water (liquid H₂O)##2 - (physics) water (chemical having the formula H₂O)##3 - water (any body of water, or a specific part of it)##4 - (dialectal) flood##5 - drinking water, mineral water##6 - bathwater##7 - sweat##8 - (rare) water (limpidity and lustre of a precious stone)"
csapat,NOUN,65,35.33,"1 - group, troop, crew, flock##2 - team (group of people)##3 - (military) troop, detachment, legion"
ért,VERB,64,35.48,"1 - (transitive) to understand##2 - (transitive) to mean, construe (either with úgy or with -n/-on/-en/-ön / alatt)##3 - (intransitive) be familiar with, be skilled at something (-hoz/-hez/-höz)####1 - third-person singular past of ér####1 - past participle of ér####1 - third-person singular past of érik"
ruha,NOUN,64,35.62,"1 - clothes (articles made of fabrics, wool or leather, used to cover the human body)##2 - garment, piece of clothing (a single item of clothing, such as a shirt or a sock)##3 - outfit (a set of clothing worn at the same time)##4 - dress (an item of clothing worn by a woman which combines a top and a skirt)##5 - cloth, towel (woven fabric used for drying dishes, cleaning, making a compress, etc.)"
hely,NOUN,63,35.76,"1 - place, location##2 - space, room"
neki,PRON,63,35.91,
kabát,NOUN,63,36.05,1 - coat
jut,VERB,63,36.19,"1 - (intransitive) to get somewhere (to a location or a situation), to arrive##2 - (intransitive, figuratively) to arrive at, come to (a decision, an agreement, an understanding, a conclusion, or a result)##3 - (intransitive) to come by something (-hoz/-hez/-höz)##4 - (intransitive) to fall (to someone's lot), to be allotted to, to arrive through chance, fate, or inheritance, to be left to someone, to be given, afforded, granted to, bestowed on someone (-nak/-nek)"
sziget,NOUN,63,36.33,1 - island
csöndes,ADJ,62,36.47,1 - alternative form of csendes
alak,NOUN,62,36.61,"1 - figure, form, shape##2 - character (in a book, drama etc.)##3 - (linguistics) word form (usually including its inflection, if there is any)##4 - figure, build (of a person)##5 - (colloquial) bloke, fellow, chap, guy"
ér,VERB,61,36.75,"1 - (heading) To reach or extend until a point.#(intransitive) to reach (a place), arrive, get somewhere (lative suffixes)##2 - (heading) To reach or extend until a point.#(intransitive) to touch something (lative suffixes)##3 - (heading) To reach or extend until a point.#(intransitive) to reach, stretch, extend as far as something (-ig) (to be long or deep or high enough)##4 - (heading) To reach or extend until a point.#(transitive) to hit, strike, afflict someone; meet with, be faced with something (of a disaster or sometimes luck)##5 - (heading) To reach or extend until a point.#(transitive) to catch someone (to discover unexpectedly; to surprise)##6 - (heading) To reach or extend until a point.#(transitive) to be able to use something (-val/-vel) meaningfully, to be of use to someone##7 - (heading) To have some value or validity.#(transitive) to be worth something##8 - (heading) To have some value or validity.#to count, to be fair (to be legal according to the rules of a game)"
száj,NOUN,60,36.89,"1 - mouth, (in compounds) oral"
hoz,VERB,60,37.02,"1 - (transitive) to bring, to carry (optionally, some object for someone: -nak/-nek)##2 - (transitive) to set someone or something into a state (e.g. motion, excitement)"
tart,VERB,60,37.16,"1 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to hold, keep (with locative suffixes or lative suffixes)##2 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to support (keep in the same place, withstanding its weight)##3 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep, keep up, preserve, retain (to hold something in the same status or condition, not letting it change or cease)##4 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep (not give up or relinquish)##5 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep back, hold back, hinder, detain, retain (optionally with locative suffixes)##6 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep, observe, follow (rule, obligation, custom, tradition, or ritual)##7 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep (to remain faithful to a given promise, word, bet or wager)##8 - (heading) To force someone or something to remain in place or in position by counteracting another force.#(transitive) to keep, maintain, cultivate, foster, harbor, nurse, nurture, cherish (relationship with any acquaintance, familial relations, or bad feelings, grudge towards someone)##9 - (heading) To provide some person or another being with a place to stay or a way of life, supplying them, or to keep, own something temporarily somewhere.#(transitive) to employ, hire, keep, have (someone for regular service)##10 - (heading) To provide some person or another being with a place to stay or a way of life, supplying them, or to keep, own something temporarily somewhere.#(transitive) to keep, raise, farm (a pet or other animal)##11 - (heading) To provide some person or another being with a place to stay or a way of life, supplying them, or to keep, own something temporarily somewhere.#(transitive) to keep, store (to hold something in the same place; with locative suffixes)##12 - (heading) To perform an action that takes some time.#(transitive) to have, hold, give, conduct, perform (a lecture, performance, presentation, meeting, etc.; on something: -ról/-ről)##13 - (heading) To perform an action that takes some time.#(transitive) to take (a break)##14 - (heading) To believe, deem, consider.#(transitive) to find, think, deem, consider, regard something (with -nak/-nek)##15 - (heading) To believe, deem, consider.#(transitive) to esteem, deem, regard, think highly or poorly of (with -ra/-re)##16 - (heading) To go on for a certain time, to extend to a certain limit.#(intransitive, of some program, event etc.) to last, continue, go on, to be in progress (used with -tól/-től … -ig)##17 - (heading) To go on for a certain time, to extend to a certain limit.#(intransitive) to take up space, extend##18 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive) to be at, to have got(ten) to some point (while proceeding, momentarily describing how far a process has gone; used with locative suffixes)##19 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive, slightly literary) to head to some direction, to be bound somewhere (with lative suffixes)##20 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive, slightly literary) to join or accompany someone (with -val/-vel)##21 - (heading) To be somewhere in a progress or to go somewhere.#(intransitive, mathematics) to converge, have limit at (-hoz/-hez/-höz or -ba/-be)##22 - (heading) To be afraid of or sorry about something.#(intransitive) to fear, to be afraid or apprehensive (of someone or something -tól/-től)##23 - (heading) To be afraid of or sorry about something.#(intransitive, construed with attól) to be afraid, to be regretful, to be sorry"
visz,VERB,60,37.29,"1 - (transitive) to take, carry (optionally, some object for someone: -nak/-nek)"
fa,NOUN,60,37.43,1 - tree (large woody plant)##2 - wood (substance beneath the bark of the trunk or branches of a tree)##3 - (graph theory) tree (connected graph with no cycles)##4 - (computing theory) tree (recursive data structure)##5 - (attributive) wooden (made of wood)
ír,VERB,60,37.57,"1 - (transitive) to write (optionally to someone: -nak/-nek, about someone/something: -ról/-ről)##2 - (transitive) to burn (a compact disc)"
utca,NOUN,59,37.7,1 - street
gyerek,NOUN,59,37.83,1 - alternative form of gyermek (“(ones') child”)
könyv,NOUN,58,37.96,1 - book####1 - obsolete form of könny (“tear[drop]”)
